dt,temp
2021-09-16 02:00:00+02:00,16.74
2021-09-16 03:00:00+02:00,16.33
2021-09-16 04:00:00+02:00,16.09
2021-09-16 05:00:00+02:00,15.97
2021-09-16 06:00:00+02:00,15.76
2021-09-16 07:00:00+02:00,15.05
2021-09-16 08:00:00+02:00,15.5
2021-09-16 09:00:00+02:00,14.99
2021-09-16 10:00:00+02:00,15.66
2021-09-15 02:00:00+02:00,16.32
2021-09-15 03:00:00+02:00,17.02
2021-09-15 04:00:00+02:00,17.97
2021-09-15 05:00:00+02:00,17.62
2021-09-15 06:00:00+02:00,17.54
2021-09-15 07:00:00+02:00,17.32
2021-09-15 08:00:00+02:00,17.67
2021-09-15 09:00:00+02:00,18.82
2021-09-15 10:00:00+02:00,19.68
2021-09-15 11:00:00+02:00,19.89
2021-09-15 12:00:00+02:00,19.04
2021-09-15 13:00:00+02:00,19.6
2021-09-15 14:00:00+02:00,20.27
2021-09-15 15:00:00+02:00,20.54
2021-09-15 16:00:00+02:00,20.68
2021-09-15 17:00:00+02:00,19.98
2021-09-15 18:00:00+02:00,20.0
2021-09-15 19:00:00+02:00,19.25
2021-09-15 20:00:00+02:00,18.97
2021-09-15 21:00:00+02:00,18.79
2021-09-15 22:00:00+02:00,18.55
2021-09-15 23:00:00+02:00,18.34
2021-09-16 00:00:00+02:00,18.01
2021-09-16 01:00:00+02:00,17.29
2021-09-14 02:00:00+02:00,11.91
2021-09-14 03:00:00+02:00,11.56
2021-09-14 04:00:00+02:00,11.23
2021-09-14 05:00:00+02:00,10.9
2021-09-14 06:00:00+02:00,11.31
2021-09-14 07:00:00+02:00,11.01
2021-09-14 08:00:00+02:00,11.46
2021-09-14 09:00:00+02:00,14.44
2021-09-14 10:00:00+02:00,16.93
2021-09-14 11:00:00+02:00,19.63
2021-09-14 12:00:00+02:00,21.61
2021-09-14 13:00:00+02:00,23.42
2021-09-14 14:00:00+02:00,24.3
2021-09-14 15:00:00+02:00,25.04
2021-09-14 16:00:00+02:00,25.67
2021-09-14 17:00:00+02:00,25.22
2021-09-14 18:00:00+02:00,24.87
2021-09-14 19:00:00+02:00,22.44
2021-09-14 20:00:00+02:00,20.31
2021-09-14 21:00:00+02:00,18.64
2021-09-14 22:00:00+02:00,18.03
2021-09-14 23:00:00+02:00,17.64
2021-09-15 01:00:00+02:00,18.05
2021-09-13 02:00:00+02:00,11.67
2021-09-13 03:00:00+02:00,12.02
2021-09-13 04:00:00+02:00,11.9
2021-09-13 05:00:00+02:00,11.75
2021-09-13 07:00:00+02:00,10.76
2021-09-13 08:00:00+02:00,11.76
2021-09-13 09:00:00+02:00,13.55
2021-09-13 10:00:00+02:00,15.69
2021-09-13 11:00:00+02:00,17.0
2021-09-13 12:00:00+02:00,18.29
2021-09-13 13:00:00+02:00,20.21
2021-09-13 14:00:00+02:00,20.77
2021-09-13 15:00:00+02:00,20.84
2021-09-13 16:00:00+02:00,21.02
2021-09-13 18:00:00+02:00,19.77
2021-09-13 19:00:00+02:00,18.11
2021-09-13 20:00:00+02:00,15.71
2021-09-13 21:00:00+02:00,14.79
2021-09-13 22:00:00+02:00,13.4
2021-09-13 23:00:00+02:00,12.91
2021-09-14 00:00:00+02:00,12.68
2021-09-14 01:00:00+02:00,12.22
2021-09-12 02:00:00+02:00,15.21
2021-09-12 03:00:00+02:00,14.67
2021-09-12 04:00:00+02:00,13.94
2021-09-12 05:00:00+02:00,14.22
2021-09-12 06:00:00+02:00,14.26
2021-09-12 08:00:00+02:00,13.97
2021-09-12 09:00:00+02:00,15.74
2021-09-12 10:00:00+02:00,16.81
2021-09-12 11:00:00+02:00,17.63
2021-09-12 12:00:00+02:00,18.51
2021-09-12 13:00:00+02:00,19.52
2021-09-12 14:00:00+02:00,20.99
2021-09-12 15:00:00+02:00,21.55
2021-09-12 16:00:00+02:00,21.26
2021-09-12 17:00:00+02:00,21.4
2021-09-12 18:00:00+02:00,20.76
2021-09-12 19:00:00+02:00,19.06
2021-09-12 20:00:00+02:00,16.94
2021-09-12 21:00:00+02:00,16.25
2021-09-12 22:00:00+02:00,15.37
2021-09-12 23:00:00+02:00,14.56
2021-09-13 01:00:00+02:00,12.73
2021-09-11 02:00:00+02:00,17.09
2021-09-11 04:00:00+02:00,15.98
2021-09-11 05:00:00+02:00,15.64
2021-09-11 06:00:00+02:00,15.34
2021-09-11 07:00:00+02:00,15.27
