dt,temp
2021-09-16 02:00:00+02:00,13.73
2021-09-16 03:00:00+02:00,13.76
2021-09-16 04:00:00+02:00,13.66
2021-09-16 05:00:00+02:00,14.04
2021-09-16 06:00:00+02:00,14.46
2021-09-16 07:00:00+02:00,14.42
2021-09-16 08:00:00+02:00,14.54
2021-09-16 09:00:00+02:00,14.87
2021-09-16 10:00:00+02:00,16.26
2021-09-15 02:00:00+02:00,17.49
2021-09-15 03:00:00+02:00,16.8
2021-09-15 04:00:00+02:00,16.72
2021-09-15 05:00:00+02:00,16.23
2021-09-15 06:00:00+02:00,16.2
2021-09-15 07:00:00+02:00,16.41
2021-09-15 08:00:00+02:00,16.5
2021-09-15 09:00:00+02:00,17.18
2021-09-15 10:00:00+02:00,18.25
2021-09-15 11:00:00+02:00,18.05
2021-09-15 12:00:00+02:00,18.7
2021-09-15 13:00:00+02:00,19.25
2021-09-15 14:00:00+02:00,19.43
2021-09-15 15:00:00+02:00,19.69
2021-09-15 16:00:00+02:00,19.98
2021-09-15 17:00:00+02:00,18.86
2021-09-15 18:00:00+02:00,18.51
2021-09-15 19:00:00+02:00,17.67
2021-09-15 20:00:00+02:00,16.63
2021-09-15 21:00:00+02:00,16.04
2021-09-15 22:00:00+02:00,14.9
2021-09-16 00:00:00+02:00,13.81
2021-09-16 01:00:00+02:00,13.86
2021-09-14 02:00:00+02:00,13.53
2021-09-14 03:00:00+02:00,13.16
2021-09-14 04:00:00+02:00,13.0
2021-09-14 05:00:00+02:00,12.84
2021-09-14 06:00:00+02:00,12.74
2021-09-14 07:00:00+02:00,12.1
2021-09-14 08:00:00+02:00,12.25
2021-09-14 09:00:00+02:00,13.18
2021-09-14 10:00:00+02:00,14.29
2021-09-14 11:00:00+02:00,17.12
2021-09-14 12:00:00+02:00,19.81
2021-09-14 13:00:00+02:00,21.39
2021-09-14 14:00:00+02:00,22.74
2021-09-14 15:00:00+02:00,22.43
2021-09-14 16:00:00+02:00,21.84
2021-09-14 17:00:00+02:00,21.27
2021-09-14 18:00:00+02:00,20.68
2021-09-14 19:00:00+02:00,19.96
2021-09-14 20:00:00+02:00,19.7
2021-09-14 21:00:00+02:00,19.36
2021-09-14 22:00:00+02:00,19.0
2021-09-14 23:00:00+02:00,18.59
2021-09-15 00:00:00+02:00,18.21
2021-09-15 01:00:00+02:00,17.77
