dt,temp
2021-09-16 01:00:00+01:00,11.82
2021-09-16 02:00:00+01:00,12.18
2021-09-16 03:00:00+01:00,11.79
2021-09-16 04:00:00+01:00,11.48
2021-09-16 05:00:00+01:00,11.65
2021-09-16 06:00:00+01:00,11.4
2021-09-16 08:00:00+01:00,12.36
2021-09-15 01:00:00+01:00,14.22
2021-09-15 02:00:00+01:00,14.15
2021-09-15 03:00:00+01:00,14.04
2021-09-15 04:00:00+01:00,13.79
2021-09-15 05:00:00+01:00,13.69
2021-09-15 06:00:00+01:00,13.44
2021-09-15 07:00:00+01:00,13.24
2021-09-15 08:00:00+01:00,13.32
2021-09-15 09:00:00+01:00,13.9
2021-09-15 10:00:00+01:00,14.63
2021-09-15 11:00:00+01:00,15.4
2021-09-15 12:00:00+01:00,16.08
2021-09-15 13:00:00+01:00,17.46
2021-09-15 14:00:00+01:00,17.97
2021-09-15 15:00:00+01:00,18.83
2021-09-15 16:00:00+01:00,19.06
2021-09-15 17:00:00+01:00,19.04
2021-09-15 18:00:00+01:00,18.9
2021-09-15 19:00:00+01:00,17.44
2021-09-15 20:00:00+01:00,15.1
2021-09-15 21:00:00+01:00,13.81
2021-09-15 22:00:00+01:00,13.07
2021-09-15 23:00:00+01:00,12.53
2021-09-16 00:00:00+01:00,12.0
2021-09-14 01:00:00+01:00,13.71
2021-09-14 02:00:00+01:00,13.34
2021-09-14 03:00:00+01:00,13.11
2021-09-14 04:00:00+01:00,13.2
2021-09-14 05:00:00+01:00,12.87
2021-09-14 06:00:00+01:00,13.0
2021-09-14 08:00:00+01:00,13.43
2021-09-14 09:00:00+01:00,13.65
2021-09-14 10:00:00+01:00,14.12
2021-09-14 11:00:00+01:00,14.34
2021-09-14 12:00:00+01:00,14.71
2021-09-14 13:00:00+01:00,15.33
2021-09-14 14:00:00+01:00,15.59
2021-09-14 15:00:00+01:00,15.62
2021-09-14 16:00:00+01:00,15.64
2021-09-14 17:00:00+01:00,15.51
2021-09-14 18:00:00+01:00,15.32
2021-09-14 19:00:00+01:00,15.12
2021-09-14 20:00:00+01:00,14.88
2021-09-14 21:00:00+01:00,14.76
2021-09-14 22:00:00+01:00,14.46
2021-09-14 23:00:00+01:00,14.41
2021-09-15 00:00:00+01:00,14.31
2021-09-13 01:00:00+01:00,13.88
2021-09-13 02:00:00+01:00,13.54
2021-09-13 03:00:00+01:00,13.3
2021-09-13 04:00:00+01:00,13.17
2021-09-13 06:00:00+01:00,12.81
2021-09-13 07:00:00+01:00,12.7
2021-09-13 09:00:00+01:00,14.19
2021-09-13 10:00:00+01:00,15.03
2021-09-13 11:00:00+01:00,15.72
2021-09-13 12:00:00+01:00,17.08
2021-09-13 13:00:00+01:00,18.02
2021-09-13 14:00:00+01:00,19.37
2021-09-13 15:00:00+01:00,19.54
2021-09-13 16:00:00+01:00,19.5
2021-09-13 17:00:00+01:00,19.57
2021-09-13 18:00:00+01:00,18.86
2021-09-13 19:00:00+01:00,18.01
2021-09-13 20:00:00+01:00,17.02
2021-09-13 21:00:00+01:00,16.21
2021-09-13 23:00:00+01:00,14.92
2021-09-12 04:00:00+01:00,13.13
2021-09-12 07:00:00+01:00,12.29
2021-09-12 08:00:00+01:00,13.09
2021-09-12 09:00:00+01:00,14.75
2021-09-12 10:00:00+01:00,16.97
2021-09-12 11:00:00+01:00,18.07
2021-09-12 12:00:00+01:00,18.92
2021-09-12 13:00:00+01:00,19.08
2021-09-12 14:00:00+01:00,19.02
2021-09-12 15:00:00+01:00,18.96
2021-09-12 16:00:00+01:00,18.43
2021-09-12 17:00:00+01:00,17.95
2021-09-12 18:00:00+01:00,17.65
2021-09-12 19:00:00+01:00,17.09
2021-09-12 20:00:00+01:00,16.39
2021-09-12 21:00:00+01:00,15.61
2021-09-12 22:00:00+01:00,15.09
2021-09-12 23:00:00+01:00,14.65
2021-09-13 00:00:00+01:00,14.25
2021-09-11 01:00:00+01:00,15.3
2021-09-11 02:00:00+01:00,15.18
2021-09-11 03:00:00+01:00,15.49
2021-09-11 04:00:00+01:00,16.61
2021-09-11 05:00:00+01:00,16.7
2021-09-11 06:00:00+01:00,16.52
2021-09-11 07:00:00+01:00,16.14
2021-09-11 08:00:00+01:00,16.26
2021-09-11 09:00:00+01:00,17.24
2021-09-11 10:00:00+01:00,18.64
2021-09-11 11:00:00+01:00,19.96
2021-09-11 12:00:00+01:00,20.46
2021-09-11 13:00:00+01:00,20.71
2021-09-11 14:00:00+01:00,20.81
